435,436,437,438,439,440,441,435,111,112,113,114,469,470,248
8,9,10,11,8,9,10,11,142,143,144,145,500,501,279
39,40,41,42,39,40,41,42,111,112,113,114,531,532,310
70,71,72,73,70,71,72,73,142,143,144,145,249,249,341
8,9,10,11,8,9,10,11,8,9,10,11,280,280,224
39,40,41,42,39,40,41,42,39,40,41,42,275,275,276
70,71,72,73,70,71,72,73,70,71,72,73,275,276,276
434,435,436,437,438,439,440,441,442,443,275,276,275,276,249
465,466,467,468,469,470,471,472,473,474,275,276,275,276,280
496,497,498,499,500,501,502,503,504,505,155,156,155,156,249
527,528,529,530,531,532,533,534,535,536,186,187,186,187,280
434,435,436,437,438,439,440,441,442,443,217,218,217,218,249
465,466,467,468,469,470,471,472,473,474,155,156,155,156,280
496,497,498,499,500,501,502,503,504,505,186,187,186,187,249
527,528,529,530,531,532,533,534,535,536,217,218,217,218,280
